InvoiceNo,InvoiceDate,FwdInvoiceRefNo,StockReceiptDate,UOM,QtyCases,QtyUnits,Rate,Amount,TaxableAmount
584,02-10-2022,,02-10-2022,24,40,0,561.07,22442.86,22442.86
585,02-10-2022,,02-10-2022,24,50,0,546.79,27339.29,27339.29
586,02-10-2022,,02-10-2022,24,50,0,250.89,12544.64,12544.64
587,02-10-2022,,02-10-2022,24,50,0,250.89,12544.64,12544.64
588,02-10-2022,,02-10-2022,12,3,0,866.07,2598.21,2598.21
589,02-10-2022,,02-10-2022,15,20,0,447.14,8942.86,8942.86
590,02-10-2022,,02-10-2022,30,2,0,468.75,937.5,937.5
591,02-10-2022,,02-10-2022,30,102,0,148.31,15127.12,15127.12
592,02-10-2022,,02-10-2022,30,20,0,468.75,9375,9375
593,02-10-2022,,02-10-2022,30,10,0,450.89,4508.93,4508.93
594,02-10-2022,,02-10-2022,30,20,0,450.89,9017.86,9017.86
595,02-10-2022,,02-10-2022,30,10,0,450.89,4508.93,4508.93
596,02-10-2022,,02-10-2022,30,100,0,131.36,13135.59,13135.59
597,02-10-2022,,02-10-2022,24,50,0,150.71,7535.71,7535.71
598,02-10-2022,,02-10-2022,24,50,0,150.71,7535.71,7535.71
599,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
600,02-10-2022,,02-10-2022,24,25,0,136.43,3410.71,3410.71
601,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
602,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
603,02-10-2022,,02-10-2022,24,50,0,136.43,6821.43,6821.43
604,02-10-2022,,02-10-2022,12,5,0,779.46,3897.32,3897.32
605,02-10-2022,,02-10-2022,24,2,0,289.29,578.57,578.57
606,02-10-2022,,02-10-2022,24,50,0,701.34,35066.96,35066.96
607,02-10-2022,,02-10-2022,24,40,0,683.48,27339.29,27339.29
608,02-10-2022,,02-10-2022,12,20,0,662.5,13250,13250
